#FILE	NUM_FOUND	actA	bsh	clpC	clpE	clpP	fbpA	gtcA	hly	hpt	iap/cwhA	icl	inlA	inlB	inlC	inlF	inlK	lap	lapB	llsA	llsB	llsD	llsG	llsH	llsP	llsX	llsY	lntA	lpeA	lplA1	lspA	mpl	oatA	pdgA	plcA	plcB	prfA	prsA2	vip
VF/SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	95.66	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	80.74	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	32	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	.	100.00	.	85.14	100.00	100.00	100.00	.	100.00	100.00	100.00	.	81.13	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	.	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	.	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	99.15	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
